ID,Street_Address,City,Country,Unit,Type,Parent,Latitude,Longitude
100,plac Harcerska,Warsaw,RP,56,Main Node,,52.2584554812593,21.10038996938327
101,plac Tulipanowa,Warsaw,RP,52,Main Node,,52.2109224381306,21.00811016955582
102,aleja Kołłątaja,Warsaw,RP,25,Main Node,,52.28364372963336,20.940310073411613
103,plac Leśna,Warsaw,RP,915,Main Node,,52.27093198226164,20.952873516829403
104,plac Konopnickiej,Warsaw,RP,126,Main Node,,52.20435972762748,21.08402865492232
105,ulica Księżycowa,Warsaw,RP,941,Main Node,,52.280582073570514,21.106467553585585
106,ul. Piwna,Warsaw,RP,137,Main Node,,52.233524986779685,20.963596934703205
107,ulica Zacisze,Warsaw,RP,823,Main Node,,52.244793091512115,21.135399068455325
108,ulica Floriana,Warsaw,RP,58,Main Node,,52.25799965826254,20.927393746345672
109,pl. Ogrodowa,Warsaw,RP,44,Main Node,,52.23759280584277,21.010603135960938
110,ul. Żytnia,Warsaw,RP,455,Main Node,,52.24630282183227,21.046541775643885
111,plac Szymanowskiego,Warsaw,RP,61,Main Node,,52.280016417983646,20.998808036519236
112,ul. Kolonia,Warsaw,RP,740,Main Node,,52.284517447823475,21.050372355864706
113,al. Skłodowskiej-Curie,Warsaw,RP,794,Main Node,,52.28459893595737,21.144303428233602
114,ul. Jesionowa,Warsaw,RP,425,Main Node,,52.26801931429027,21.079796205849867
115,ulica Okrzei,Warsaw,RP,367,Main Node,,52.219740316734175,21.077145492587203
116,plac Owocowa,Warsaw,RP,99,Main Node,,52.27420463980571,21.054806182102336
117,pl. Turystyczna,Warsaw,RP,49,Main Node,,52.22574229310449,21.067521068351986
118,ulica Krótka,Warsaw,RP,706,Main Node,,52.225181501195394,20.954017177347197
119,plac Olchowa,Warsaw,RP,847,Main Node,,52.25408912897174,21.053212721666725
120,aleja Listopada,Warsaw,RP,81,Main Node,,52.20591517440479,21.084870674796484
121,pl. Zbożowa,Warsaw,RP,83,Main Node,,52.247469620243564,21.18803770362536
122,aleja Powstańców Śląskich,Warsaw,RP,13,Main Node,,52.25468768354739,21.020668061960208
123,ulica Okrzei,Warsaw,RP,697,Main Node,,52.27694883396411,21.060229804974785
124,pl. Majowa,Warsaw,RP,28,Main Node,,52.276693033016976,21.154439376888995
125,pl. Kamienna,Warsaw,RP,15,Main Node,,52.28294177925509,21.0237860151481
126,aleja Świerczewskiego,Warsaw,RP,30,Main Node,,52.26645970912549,20.908052304519554
127,plac Solidarnosci,Warsaw,RP,49,Main Node,,52.268172319058706,21.148483021211113
128,plac Słowicza,Warsaw,RP,617,Main Node,,52.259045968367424,21.045666448132994
129,ulica Konstytucji 3 Maja,Warsaw,RP,424,Main Node,,52.27609735736434,21.1758919265634
130,ul. Lisia,Warsaw,RP,902,Main Node,,52.27762413184731,20.984428421475624
131,al. Kościuszki,Warsaw,RP,906,Main Node,,52.29154575658698,21.144846441204745
132,al. Rolnicza,Warsaw,RP,4,Main Node,,52.243920187617164,21.140068589342263
133,ulica Mazurska,Warsaw,RP,335,Main Node,,52.20792814796542,21.02574041314414
134,ulica Wybickiego,Warsaw,RP,54,Main Node,,52.29150810939087,21.13861064105844
135,pl. Okulickiego,Warsaw,RP,508,Main Node,,52.25539436134188,21.036130868011146
136,ulica Orzeszkowej,Warsaw,RP,269,Main Node,,52.25482811200131,21.030006563267424
137,ulica Mazurska,Warsaw,RP,749,Main Node,,52.264055845775125,21.127418835248967
138,pl. Słoneczna,Warsaw,RP,68,Main Node,,52.264679925721346,21.0343177707621
139,aleja Jaworowa,Warsaw,RP,14,Main Node,,52.20264886018664,21.15377602435514
140,ulica Szymanowskiego,Warsaw,RP,68,Main Node,,52.259446963927985,21.093265931157383
141,ul. Bolesława Chrobrego,Warsaw,RP,385,Main Node,,52.27059930255972,21.1011546457288
142,aleja Poprzeczna,Warsaw,RP,50,Main Node,,52.27534701983156,20.982176954148525
143,plac Skargi,Warsaw,RP,13,Main Node,,52.29762504466517,21.001187886832582
144,pl. Mazurska,Warsaw,RP,234,Main Node,,52.29804014816378,20.994881982674237
145,plac Liliowa,Warsaw,RP,17,Main Node,,52.27475960634068,21.051163489975533
146,ulica Nałkowskiej,Warsaw,RP,75,Main Node,,52.24316832394996,20.90046611982816
147,al. Księżycowa,Warsaw,RP,354,Main Node,,52.27879320193201,20.946793308965383
148,ulica Królewska,Warsaw,RP,55,Main Node,,52.277593993735906,21.087536054613015
149,pl. Wojciecha,Warsaw,RP,14,Main Node,,52.27865290263457,20.971583069944806
150,ulica Jodłowa,Warsaw,RP,64,Main Node,,52.26138012269732,20.990477655286863
151,pl. Korczaka,Warsaw,RP,70,Main Node,,52.24349354312042,21.18105440167476
152,plac Koralowa,Warsaw,RP,50,Main Node,,52.21017481423106,20.925869963254446
153,pl. Liliowa,Warsaw,RP,17,Main Node,,52.20990731395697,21.075261947623716
154,plac Mazowiecka,Warsaw,RP,47,Main Node,,52.200544562409114,21.182698594706228
155,plac Fredry,Warsaw,RP,81,Main Node,,52.29571470697519,21.05101926377403
156,ul. Modrzewiowa,Warsaw,RP,74,Main Node,,52.28807282302337,21.199121118883838
157,aleja Batalionów Chłopskich,Warsaw,RP,92,Main Node,,52.257525161968395,21.173899591400144
158,aleja Krańcowa,Warsaw,RP,67,Main Node,,52.263952603846086,21.00462692238587
159,al. Jana III Sobieskiego,Warsaw,RP,49,Main Node,,52.294541444100325,21.1995919273532
160,al. Owocowa,Warsaw,RP,324,Main Node,,52.23104319452308,20.961380734602276
161,ul. Niepodległości,Warsaw,RP,661,Main Node,,52.25701919541775,20.999277196219932
162,ul. Rzeczna,Warsaw,RP,55,Main Node,,52.22140690318057,20.933041141014755
163,al. Żeglarska,Warsaw,RP,551,Main Node,,52.29183458760645,21.025305262638593
164,ulica Jaworowa,Warsaw,RP,433,Main Node,,52.24217697726021,20.94474853481789
165,aleja Czarnieckiego,Warsaw,RP,39,Main Node,,52.28843096283869,21.122705503162912
166,ulica Kolejowa,Warsaw,RP,942,Main Node,,52.22527563267946,21.117750285368697
167,plac Reja,Warsaw,RP,61,Main Node,,52.241351766513624,21.016944420279746
168,plac Asnyka,Warsaw,RP,17,Main Node,,52.29852003238665,21.082670522649718
169,ulica Dolna,Warsaw,RP,616,Main Node,,52.28699068573371,21.054011134903774
170,al. Graniczna,Warsaw,RP,49,Main Node,,52.27303486966403,21.05849948717621
171,pl. Mokra,Warsaw,RP,48,Main Node,,52.28114282507397,21.142238119664057
172,pl. Narcyzowa,Warsaw,RP,92,Main Node,,52.294539172331504,20.90402577683942
173,ulica Klonowa,Warsaw,RP,12,Main Node,,52.213592288382934,21.18004766316007
174,plac Jabłoniowa,Warsaw,RP,99,Main Node,,52.26971682362621,21.15533990528502
175,ulica Nałkowskiej,Warsaw,RP,77,Main Node,,52.24012030685504,20.934859721089428
176,ulica Kamienna,Warsaw,RP,8,Main Node,,52.242063397003854,21.04574691295563
177,pl. Stycznia,Warsaw,RP,79,Main Node,,52.22033555098141,21.06795304239966
178,pl. Kwiatowa,Warsaw,RP,44,Main Node,,52.271262874689995,20.930991040290362
179,ul. Solidarnosci,Warsaw,RP,580,Main Node,,52.2280667490514,21.0667288280671
180,al. Miodowa,Warsaw,RP,28,Main Node,,52.26580037788216,21.141316889483683
181,aleja Prosta,Warsaw,RP,44,Main Node,,52.23255406767921,21.023627106378427
182,al. Stolarska,Warsaw,RP,88,Main Node,,52.25616047844197,21.07186133782534
183,al. Widokowa,Warsaw,RP,40,Main Node,,52.23856559448137,20.911162917580782
184,ul. Graniczna,Warsaw,RP,79,Main Node,,52.20754642036714,20.981713979499585
185,pl. Rejtana,Warsaw,RP,34,Main Node,,52.23471731936529,20.9644463269166
186,plac Bolesława Krzywoustego,Warsaw,RP,50,Main Node,,52.25971576113305,21.04428925590728
187,aleja Piłsudskiego,Warsaw,RP,31,Main Node,,52.29987929120008,20.908531290775255
188,aleja Broniewskiego,Warsaw,RP,62,Main Node,,52.23540877661903,21.168427262155475
189,al. Składowa,Warsaw,RP,36,Main Node,,52.28586163800085,21.126181597239462
190,aleja Słowackiego,Warsaw,RP,68,Main Node,,52.287281212137756,21.177469854249125
191,ul. Starowiejska,Warsaw,RP,2,Main Node,,52.277819660303905,21.171164491356826
192,ulica Wypoczynkowa,Warsaw,RP,490,Main Node,,52.224927571605065,21.102802896379334
193,aleja Wczasowa,Warsaw,RP,310,Main Node,,52.26881051201667,20.991201605673442
194,al. Daleka,Warsaw,RP,195,Main Node,,52.27352976602577,20.9325306695818
195,ulica Pułaskiego,Warsaw,RP,73,Main Node,,52.21070490042283,21.183433910588437
196,pl. Okulickiego,Warsaw,RP,14,Main Node,,52.297180833014224,20.983331272607302
197,al. Tulipanowa,Warsaw,RP,62,Main Node,,52.243343895580765,21.026584661471524
198,aleja Rzemieślnicza,Warsaw,RP,24,Main Node,,52.209969260218124,21.110738487596784
199,ulica Maja,Warsaw,RP,27,Main Node,,52.28829810356242,20.95406531372077
200,al. Głowackiego,Warsaw,RP,858,Main Node,,52.29953939068175,21.188252191219277
201,ulica Krokusowa,Warsaw,RP,843,Main Node,,52.210190361528156,21.01359577145377
202,ulica Kolonia,Warsaw,RP,31,Main Node,,52.29262715820914,21.147785113881334
203,aleja Akacjowa,Warsaw,RP,3,Main Node,,52.20757961606625,21.076489572530825
204,al. Olchowa,Warsaw,RP,490,Main Node,,52.287054270084305,20.980016160571534
205,plac Południowa,Warsaw,RP,17,Main Node,,52.27492929615924,21.019309422197814
206,ulica Porzeczkowa,Warsaw,RP,35,Main Node,,52.2049530998614,21.039236611554937
207,aleja Kusocińskiego,Warsaw,RP,53,Main Node,,52.23283362212088,21.014412773377813
208,al. Klonowa,Warsaw,RP,817,Main Node,,52.24309546738862,21.046628480600592
209,al. Jana Pawła II,Warsaw,RP,83,Main Node,,52.298572781645696,21.13738974900767
210,plac Ceglana,Warsaw,RP,518,Main Node,,52.28197140419044,21.077971429034022
211,al. Tysiąclecia,Warsaw,RP,678,Main Node,,52.23515846650905,21.175439846777827
212,ulica Owocowa,Warsaw,RP,229,Main Node,,52.20222104675889,21.195927784664562
213,pl. Bankowa,Warsaw,RP,13,Main Node,,52.20536431062159,21.030050259160905
214,plac Lawendowa,Warsaw,RP,484,Main Node,,52.26327783699919,20.92112267692996
215,pl. Powstańców Wielkopolskich,Warsaw,RP,43,Main Node,,52.27832992104113,21.03472611308411
216,ulica Podleśna,Warsaw,RP,28,Main Node,,52.251219599695595,20.90365528774998
217,ulica Konarskiego,Warsaw,RP,1,Main Node,,52.20786810286379,21.030473563562808
218,pl. Słonecznikowa,Warsaw,RP,58,Main Node,,52.28619445132379,21.1749969382546
219,ul. Klonowa,Warsaw,RP,59,Main Node,,52.294602296659235,21.11352666426562
220,plac Podmiejska,Warsaw,RP,31,Main Node,,52.28516279740361,20.925233510784608
221,aleja Andersa,Warsaw,RP,66,Main Node,,52.203578412405115,21.193996654105252
222,aleja Kraszewskiego,Warsaw,RP,39,Main Node,,52.25709151060849,21.029011543376008
223,ulica Szymanowskiego,Warsaw,RP,133,Main Node,,52.23106011488686,21.022009585577
224,plac Młyńska,Warsaw,RP,16,Main Node,,52.28404521252526,21.00746752303929
225,pl. Lotnicza,Warsaw,RP,13,Main Node,,52.27833393602422,21.039321939126285
226,aleja Mieszka I,Warsaw,RP,936,Main Node,,52.223755073297625,21.100690188005075
227,pl. Plażowa,Warsaw,RP,80,Main Node,,52.23288391304247,20.96332666893645
228,ulica Kościuszki,Warsaw,RP,217,Main Node,,52.21302656655432,21.021216749703854
229,aleja Wrzosowa,Warsaw,RP,53,Main Node,,52.26491645833007,21.126909994205054
230,ulica Jastrzębia,Warsaw,RP,52,Main Node,,52.242272011124086,21.18068915719585
231,plac Rynek,Warsaw,RP,245,Main Node,,52.22616490000777,20.976174159401445
232,ul. Słowicza,Warsaw,RP,46,Main Node,,52.268309917013504,21.036296707033433
233,aleja Ludowa,Warsaw,RP,6,Main Node,,52.21504713045943,21.025070738699334
234,al. Kruczkowskiego,Warsaw,RP,47,Main Node,,52.216911523451735,21.167198298612355
235,al. Królewska,Warsaw,RP,536,Main Node,,52.268514603284046,20.998461934512914
236,ulica Jesienna,Warsaw,RP,12,Main Node,,52.27940212650267,21.065683302658982
237,al. Broniewskiego,Warsaw,RP,38,Main Node,,52.2190848621091,20.95042772673885
238,plac Pszenna,Warsaw,RP,38,Main Node,,52.21048667522173,21.13871239534273
239,aleja Jana III Sobieskiego,Warsaw,RP,78,Main Node,,52.253081206976596,21.149884746249214
240,ulica Rolna,Warsaw,RP,85,Main Node,,52.29581052512935,21.116795878443313
241,ulica Śląska,Warsaw,RP,47,Main Node,,52.28840566367718,21.06706982636382
242,ulica Listopada,Warsaw,RP,562,Main Node,,52.22197225376372,20.97892833519463
243,pl. Olchowa,Warsaw,RP,3,Main Node,,52.25569711945608,21.187324104101844
244,aleja Jana Pawła II,Warsaw,RP,98,Main Node,,52.284074093167824,20.954780283750637
245,aleja Andersa,Warsaw,RP,26,Main Node,,52.217872921896685,20.908779940231472
246,ulica Jeziorna,Warsaw,RP,53,Main Node,,52.201128592118536,21.066028773451684
247,aleja Browarna,Warsaw,RP,3,Main Node,,52.2010346275098,20.921656670003696
248,al. Brzechwy,Warsaw,RP,67,Main Node,,52.29636854251112,21.068788756928814
249,ul. Szmaragdowa,Warsaw,RP,77,Main Node,,52.253348673409285,21.087022150371716
250,plac Rumiankowa,Warsaw,RP,988,Main Node,,52.29311711504613,21.11511982574522
251,ul. Piwna,Warsaw,RP,88,Main Node,,52.28748242197551,21.086344471256247
252,plac Tuwima,Warsaw,RP,861,Main Node,,52.26661407282567,21.019945320268928
253,ul. Świerczewskiego,Warsaw,RP,614,Main Node,,52.243950479190254,20.905189056765916
254,ul. Srebrna,Warsaw,RP,324,Main Node,,52.28658506485815,20.957275604381223
255,aleja Boczna,Warsaw,RP,86,Main Node,,52.26677274898782,21.02728177930887
256,aleja Narutowicza,Warsaw,RP,37,Main Node,,52.24084890748377,21.158934270976133
257,pl. Gołębia,Warsaw,RP,987,Main Node,,52.25386835228464,21.02945388380979
258,al. Kraszewskiego,Warsaw,RP,89,Main Node,,52.21831989048658,21.157583595733733
259,ul. Dobra,Warsaw,RP,6,Main Node,,52.29143159061264,21.085028040148966
260,ulica Rubinowa,Warsaw,RP,220,Main Node,,52.287379074467445,21.11701452137913
261,aleja Szkolna,Warsaw,RP,59,Main Node,,52.216607322838286,21.050176097872864
262,aleja Zielna,Warsaw,RP,8,Main Node,,52.24758267435305,21.075244382787783
263,aleja Powstańców Wielkopolskich,Warsaw,RP,69,Main Node,,52.22901484107581,20.913448658794337
264,pl. Orzeszkowej,Warsaw,RP,44,Main Node,,52.22104954161039,21.127015437441706
265,ulica Koralowa,Warsaw,RP,63,Main Node,,52.26807599421449,20.96474726279523
266,plac Wiązowa,Warsaw,RP,362,Main Node,,52.27812576825297,21.132668788989715
267,ul. Jana Pawła II,Warsaw,RP,22,Main Node,,52.22564865523147,21.04227372456314
268,plac Kaliska,Warsaw,RP,433,Main Node,,52.21650977388941,21.187729064661163
269,plac Krzywa,Warsaw,RP,27,Main Node,,52.21262082545135,21.117327176160412
270,pl. Gałczynskiego,Warsaw,RP,455,Main Node,,52.2475491446661,21.08377775747587
271,pl. Miodowa,Warsaw,RP,98,Main Node,,52.22967728867114,20.95129610723427
272,al. Drzymały,Warsaw,RP,148,Main Node,,52.23944475546117,20.951652933771935
273,ul. Asnyka,Warsaw,RP,49,Main Node,,52.20101056568362,20.99999386041047
274,ulica Kolonia,Warsaw,RP,62,Main Node,,52.26066296134772,20.94963725390065
275,pl. Rubinowa,Warsaw,RP,34,Main Node,,52.27114193816706,21.064510387025372
276,ulica Przechodnia,Warsaw,RP,39,Main Node,,52.28066376756104,20.97596169158662
277,aleja Kruczkowskiego,Warsaw,RP,656,Main Node,,52.25717512384837,21.17173747812836
278,al. Reja,Warsaw,RP,65,Main Node,,52.24769609373452,21.08409607616197
279,ul. Głowackiego,Warsaw,RP,0,Main Node,,52.290388591351636,21.02999260627877
280,aleja Rózana,Warsaw,RP,22,Main Node,,52.23343640983755,21.051930269868986
281,ulica Kaszubska,Warsaw,RP,138,Main Node,,52.28110300939382,21.137128696862156
282,aleja Waryńskiego,Warsaw,RP,3,Main Node,,52.219233581698894,21.152609411611635
283,ulica Solidarnosci,Warsaw,RP,271,Main Node,,52.25010432282459,20.980334787565276
284,al. Wysoka,Warsaw,RP,137,Main Node,,52.20558191487793,21.084986525917678
285,ulica Jabłoniowa,Warsaw,RP,6,Main Node,,52.27159102779749,20.916746110789056
286,pl. Bolesława Krzywoustego,Warsaw,RP,215,Main Node,,52.23602840330048,21.079169457525122
287,aleja Gdańska,Warsaw,RP,664,Main Node,,52.22734699998546,21.099519779845256
288,ulica Rzeczna,Warsaw,RP,96,Main Node,,52.20680896610634,20.957094905198524
289,plac Dąbrowskiej,Warsaw,RP,914,Main Node,,52.2927594435544,21.032457534592925
290,plac Krótka,Warsaw,RP,69,Main Node,,52.20016588590028,21.191165802344088
291,aleja Agrestowa,Warsaw,RP,75,Main Node,,52.24320436583145,20.9708752224763
292,plac Kolonia,Warsaw,RP,334,Main Node,,52.23731854346544,21.095529190768445
293,plac Wieniawskiego,Warsaw,RP,88,Main Node,,52.25488957413212,21.166961281171158
294,plac Konarskiego,Warsaw,RP,3,Main Node,,52.24682956621663,21.126459739724105
295,aleja Gałczynskiego,Warsaw,RP,14,Main Node,,52.25691563459935,21.132846728192963
296,ulica Jasna,Warsaw,RP,59,Main Node,,52.26132878007969,20.937841410077795
297,al. Południowa,Warsaw,RP,15,Main Node,,52.261025211206714,21.13875433813785
298,aleja Jaśminowa,Warsaw,RP,848,Main Node,,52.263431119908645,21.071767052088465
299,pl. Słowicza,Warsaw,RP,94,Main Node,,52.26573491337933,20.990785272932843
300,pl. Bolesława Chrobrego,Warsaw,RP,5,Main Node,,52.28174283205825,20.93905463929352
301,aleja Łanowa,Warsaw,RP,3,Main Node,,52.23181998460432,20.913514269060617
302,al. Owocowa,Warsaw,RP,84,Main Node,,52.27726026469356,21.034536092036188
303,al. Słowackiego,Warsaw,RP,87,Main Node,,52.29152121267926,20.937961856868228
304,ul. Wąska,Warsaw,RP,74,Main Node,,52.205521007179335,21.104697604005494
305,al. Listopada,Warsaw,RP,931,Main Node,,52.2356501475228,21.19935561071252
306,al. Jana Pawła II,Warsaw,RP,69,Main Node,,52.29433644523757,21.13016668691857
307,plac Ciasna,Warsaw,RP,62,Main Node,,52.200875602750656,20.983264644566844
308,pl. Prusa,Warsaw,RP,587,Main Node,,52.28385703816444,21.053347101247294
309,al. Łabędzia,Warsaw,RP,56,Main Node,,52.20677746024086,21.065626508364353
310,ulica Fabryczna,Warsaw,RP,685,Main Node,,52.23273172356857,20.99664723586685
311,aleja Rejtana,Warsaw,RP,6,Main Node,,52.243167918896184,20.930803387285764
312,ul. Irysowa,Warsaw,RP,71,Main Node,,52.26065520986551,20.950298079901106
